time, error
0.446094036102, -0.300000011921
0.558773040771, -0.300000011921
0.703057050705, -0.300000011921
0.805615901947, -0.300000011921
0.943962097168, -0.300000011921
1.04397797585, -0.300000011921
1.14403510094, -0.300000011921
1.2939889431, -0.300000011921
1.41066408157, -0.300000011921
1.55603694916, -0.300000011921
1.65666604042, -0.300000011921
1.80490803719, -0.300000011921
1.90590906143, -0.300000011921
2.00661492348, -0.300000011921
2.15257811546, -0.300000011921
2.30304598808, -0.300000011921
2.44390702248, -0.300000011921
2.54401397705, -0.300000011921
2.6575551033, -0.300000011921
2.8039829731, -0.300000011921
2.94850897789, -0.300000011921
3.05409502983, -0.300000011921
3.1544880867, -0.300000011921
3.29383301735, -0.300000011921
3.40656304359, -0.300000011921
3.55520296097, -0.109999982119
3.70019197464, -0.109999982119
3.8441889286, -0.109999982119
3.95680904388, -0.109999982119
4.09623908997, -0.0900000011921
4.24422693253, -0.0699999904633
4.35130405426, -0.0699999904633
4.5058760643, -0.0699999904633
4.64396500587, -0.0499999946356
4.75178694725, -0.0499999946356
4.85253405571, -0.0499999946356
4.95422410965, -0.0499999946356
5.0943479538, -0.0299999988079
5.20814299583, -0.0299999988079
5.35679006577, -0.0299999988079
5.49397206306, -0.0299999988079
5.59809708595, -0.00999998807907
5.70568490028, -0.00999998807907
5.84401798248, -0.00999998807907
5.95833492279, -0.00999998807907
6.09411406517, 0.0100000077486
6.2563560009, -0.00999998807907
6.39875602722, 0.0100000077486
6.54399108887, 0.0100000077486
6.65627908707, 0.0100000077486
6.80742096901, 0.0100000077486
6.9549279213, 0.0100000077486
7.09579110146, 0.0100000077486
7.24402189255, 0.0100000077486
7.3554649353, 0.0100000077486
7.49669909477, 0.0100000077486
7.60794711113, 0.0100000077486
7.74552202225, 0.0100000077486
7.85826897621, 0.0100000077486
8.00381994247, 0.0100000077486
8.14400196075, 0.0100000077486
8.24911499023, 0.0100000077486
8.39501309395, 0.0100000077486
8.49556303024, 0.0100000077486
8.60571789742, 0.0100000077486
8.74862790108, 0.0100000077486
8.90149307251, 0.0100000077486
9.05568003654, 0.0100000077486
9.19544291496, 0.0100000077486
9.34402608871, 0.0100000077486
9.45801091194, 0.0100000077486
9.59391593933, 0.0100000077486
9.70766711235, 0.0100000077486
9.85029911995, 0.0300000035763
9.99389910698, 0.0300000035763
10.0980319977, 0.0300000035763
10.2059750557, 0.0300000035763
10.3439309597, 0.0300000035763
10.4440560341, 0.0300000035763
10.5940999985, 0.0300000035763
10.7058949471, 0.0100000077486
10.8554010391, 0.0100000077486
11.0066759586, 0.0100000077486
11.1561939716, 0.0100000077486
11.2939538956, 0.0100000077486
11.4062900543, 0.0100000077486
11.5539228916, -0.00999998807907
11.6547250748, -0.00999998807907
11.7939441204, -0.00999998807907
11.9077959061, -0.00999998807907
12.0554039478, -0.00999998807907
12.2063930035, -0.00999998807907
12.3493540287, -0.00999998807907
12.4939849377, -0.00999998807907
12.5970349312, -0.00999998807907
12.7441759109, -0.00999998807907
12.8939580917, 0.0100000077486
13.0111210346, 0.0100000077486
13.1539080143, 0.0100000077486
13.2939310074, 0.0100000077486
13.4083669186, 0.0100000077486
13.5505390167, 0.0300000035763
13.6551640034, 0.0300000035763
13.8037679195, 0.0300000035763
13.9542849064, 0.0300000035763
14.0553541183, 0.0300000035763
14.1554400921, 0.0300000035763
14.2939670086, 0.0300000035763
14.4065110683, 0.0300000035763
14.549875021, 0.0100000077486
14.6951858997, 0.0100000077486
14.8058810234, 0.0100000077486
14.9481809139, 0.0100000077486
15.0939259529, 0.0100000077486
15.1942789555, 0.0100000077486
15.2953920364, 0.0100000077486
15.401061058, 0.0100000077486
15.5580160618, 0.0100000077486
15.6938769817, 0.0100000077486
15.7996640205, 0.0100000077486
15.9063019753, 0.0100000077486
16.0573298931, -0.00999998807907
16.193926096, -0.00999998807907
16.2985150814, -0.00999998807907
16.444051981, -0.00999998807907
16.5605900288, 0.0100000077486
16.6981420517, 0.0100000077486
16.8052210808, 0.0100000077486
16.9569690228, 0.0100000077486
17.0963020325, 0.0100000077486
17.245028019, 0.0100000077486
17.3939430714, 0.0100000077486
17.4994959831, 0.0100000077486
17.6050460339, 0.0100000077486
17.7074949741, 0.0100000077486
17.8076710701, 0.0100000077486
17.9580030441, 0.0100000077486
18.105905056, -0.00999998807907
18.207046032, -0.0299999988079
18.3560330868, -0.0499999946356
18.4939310551, -0.0699999904633
18.601350069, -0.0699999904633
18.7037479877, -0.0699999904633
18.8450610638, -0.0499999946356
18.955673933, -0.0499999946356
19.1073539257, -0.0499999946356
19.2452859879, -0.0499999946356
19.3940579891, -0.0299999988079
19.5062499046, -0.0299999988079
19.6074299812, -0.0299999988079
19.7473959923, -0.0299999988079
19.8938989639, -0.00999998807907
20.0066781044, -0.00999998807907
20.14625597, -0.00999998807907
20.2520570755, -0.00999998807907
20.3939750195, -0.00999998807907
20.5441160202, 0.0100000077486
20.661536932, 0.0100000077486
20.7953810692, 0.0100000077486
20.9440579414, 0.0100000077486
21.0509309769, 0.0100000077486
21.1993999481, 0.0300000035763
21.34552598, 0.0300000035763
21.494273901, 0.0300000035763
21.6101260185, 0.0300000035763
21.7485868931, 0.0300000035763
21.8939170837, 0.0300000035763
21.9940450191, 0.0100000077486
22.143930912, 0.0100000077486
22.2521541119, 0.0100000077486
22.3986809254, 0.0100000077486
22.5441749096, -0.00999998807907
22.6939101219, -0.00999998807907
22.7939770222, -0.00999998807907
22.8940041065, -0.00999998807907
23.0439729691, -0.0299999988079
23.1440370083, -0.0299999988079
