ticks, averageDistance
100, 9.42973
200, 8.42417
300, 7.71912
400, 7.83041
500, 8.26348
600, 7.19721
700, 6.06669
800, 5.9158
900, 6.08469
1000, 5.89277
1100, 5.73197
1200, 5.79459
1300, 5.47021
1400, 5.39516
1500, 5.29148
1600, 5.3677
1700, 5.28436
1800, 4.31531
1900, 3.92071
2000, 4.36961
2100, 4.13567
2200, 4.34129
2300, 3.96665
2400, 3.27724
2500, 2.92555
2600, 3.33932
2700, 3.77137
2800, 3.63348
2900, 2.37506
3000, 2.42718
3100, 2.17659
3200, 1.90126
3300, 2.54157
3400, 3.12304
3500, 2.71311
3600, 3.02053
3700, 3.23568
3800, 3.02238
3900, 2.38394
4000, 2.14671
4100, 2.0821
4200, 2.60996
4300, 2.39477
4400, 1.60798
4500, 2.29467
4600, 1.90949
4700, 1.22008
4800, 1.30749
4900, 1.15474
5000, 1.01876
5100, 1.27154
5200, 0.834692
5300, 0.884019
5400, 0.892092
5500, 1.13564
5600, 1.20898
5700, 0.8858
5800, 0.945026
5900, 0.945304
6000, 1.17387
6100, 1.2537
6200, 1.38628
6300, 1.18001
6400, 0.976645
6500, 1.24544
6600, 1.12303
6700, 1.04623
6800, 1.20019
6900, 1.23672
7000, 1.54357
7100, 1.56572
7200, 1.54864
7300, 1.45999
7400, 1.08224
7500, 0.763545
7600, 1.14216
7700, 1.36538
7800, 1.40171
7900, 0.953135
8000, 0.761996
8100, 0.764592
8200, 1.25492
8300, 1.43685
8400, 1.02638
8500, 0.898278
8600, 1.2648
8700, 1.37975
8800, 1.25124
8900, 0.982197
9000, 0.876834
9100, 0.999314
9200, 0.986609
9300, 1.15157
9400, 1.33086
9500, 1.04999
9600, 1.09699
9700, 0.80276
9800, 0.908944
9900, 1.26974
10000, 0.971332
10100, 1.23062
10200, 1.14456
10300, 1.30242
10400, 0.942876
10500, 1.04161
10600, 1.08775
10700, 1.21267
10800, 1.26682
10900, 0.855597
11000, 0.689358
11100, 0.438989
11200, 0.406951
11300, 0.389186
11400, 0.421982
11500, 0.435549
11600, 0.406937
11700, 0.46591
11800, 0.41997
11900, 0.462037
12000, 0.393563
12100, 0.393235
12200, 0.402969
12300, 0.483938
12400, 0.461598
12500, 0.483483
12600, 0.498106
12700, 0.497612
12800, 0.433962
12900, 0.430909
13000, 0.469004
13100, 0.402174
